""	"gender"	"race"
"115"	"Male"	"Caucasian"
"116"	"Female"	"Caucasian"
"117"	"Male"	"Caucasian"
"118"	"Female"	"Caucasian"
"119"	"Male"	"Caucasian"
"120"	"Male"	"AfricanAmerican"
"121"	"Female"	"Caucasian"
"122"	"Male"	"Caucasian"
"123"	"Female"	"AfricanAmerican"
"124"	"Female"	"Caucasian"
"125"	"Male"	"Other"
"126"	"Female"	"AfricanAmerican"
"127"	"Female"	"Caucasian"
"128"	"Male"	"?"
"129"	"Female"	"AfricanAmerican"
"130"	"Female"	"AfricanAmerican"
"131"	"Female"	"Caucasian"
"132"	"Female"	"Caucasian"
"133"	"Female"	"Caucasian"
"134"	"Male"	"Caucasian"
"135"	"Female"	"AfricanAmerican"
"136"	"Female"	"AfricanAmerican"
"137"	"Female"	"Other"
"138"	"Male"	"Caucasian"
"139"	"Female"	"Caucasian"
"140"	"Male"	"Caucasian"
"141"	"Male"	"AfricanAmerican"
"142"	"Female"	"Caucasian"
"143"	"Female"	"Caucasian"
"144"	"Male"	"Caucasian"
"145"	"Female"	"Caucasian"
"146"	"Female"	"Caucasian"
"147"	"Female"	"AfricanAmerican"
"148"	"Female"	"Caucasian"
"149"	"Female"	"Caucasian"
"150"	"Male"	"Caucasian"
"151"	"Male"	"Caucasian"
"152"	"Male"	"Caucasian"
"153"	"Female"	"Caucasian"
"154"	"Male"	"Caucasian"
"155"	"Male"	"Caucasian"
"156"	"Male"	"Caucasian"
"157"	"Female"	"Caucasian"
"158"	"Male"	"AfricanAmerican"
"159"	"Male"	"Caucasian"
"160"	"Female"	"Caucasian"
"161"	"Male"	"Caucasian"
"162"	"Male"	"Other"
"163"	"Male"	"Caucasian"
"164"	"Male"	"Caucasian"
"165"	"Female"	"Caucasian"
"166"	"Female"	"Caucasian"
"167"	"Female"	"Caucasian"
"168"	"Female"	"Caucasian"
"169"	"Female"	"Caucasian"
"170"	"Female"	"Caucasian"
"171"	"Female"	"Caucasian"
"172"	"Female"	"Caucasian"
"173"	"Male"	"Caucasian"
"174"	"Female"	"Caucasian"
"175"	"Male"	"Caucasian"
"176"	"Female"	"Caucasian"
"177"	"Male"	"Caucasian"
"178"	"Male"	"?"
"179"	"Male"	"Caucasian"
"180"	"Male"	"Caucasian"
"181"	"Male"	"AfricanAmerican"
"182"	"Male"	"Caucasian"
"183"	"Male"	"AfricanAmerican"
"184"	"Male"	"?"
"185"	"Male"	"Caucasian"
"186"	"Male"	"AfricanAmerican"
"187"	"Female"	"Caucasian"
"188"	"Male"	"AfricanAmerican"
"189"	"Male"	"Caucasian"
"190"	"Female"	"Caucasian"
"191"	"Male"	"Caucasian"
"192"	"Male"	"AfricanAmerican"
"193"	"Female"	"Caucasian"
"194"	"Male"	"AfricanAmerican"
"195"	"Female"	"Caucasian"
"196"	"Female"	"Caucasian"
"197"	"Female"	"Caucasian"
"198"	"Female"	"AfricanAmerican"
"199"	"Female"	"Caucasian"
"200"	"Male"	"Caucasian"
"201"	"Male"	"Asian"
"202"	"Female"	"Caucasian"
"203"	"Female"	"Caucasian"
"204"	"Female"	"Caucasian"
"205"	"Male"	"AfricanAmerican"
"206"	"Male"	"AfricanAmerican"
"207"	"Male"	"AfricanAmerican"
"208"	"Female"	"?"
"209"	"Female"	"Caucasian"
"210"	"Male"	"Caucasian"
"211"	"Male"	"Caucasian"
"212"	"Female"	"AfricanAmerican"
"213"	"Female"	"AfricanAmerican"
"214"	"Male"	"Caucasian"
"215"	"Male"	"AfricanAmerican"
"216"	"Female"	"AfricanAmerican"
"217"	"Female"	"Caucasian"
"218"	"Female"	"Caucasian"
"219"	"Male"	"Caucasian"
"220"	"Male"	"Caucasian"
"221"	"Male"	"Caucasian"
"222"	"Male"	"Caucasian"
"223"	"Female"	"AfricanAmerican"
"224"	"Female"	"Hispanic"
"225"	"Male"	"Caucasian"
"226"	"Female"	"AfricanAmerican"
"227"	"Female"	"Caucasian"
"228"	"Male"	"Other"
"229"	"Female"	"Caucasian"
"230"	"Male"	"Caucasian"
"231"	"Male"	"Caucasian"
"232"	"Female"	"AfricanAmerican"
"233"	"Male"	"Caucasian"
"234"	"Male"	"Caucasian"
"235"	"Male"	"Caucasian"
"236"	"Male"	"Caucasian"
"237"	"Male"	"Caucasian"
"238"	"Female"	"Caucasian"
"239"	"Female"	"?"
"240"	"Male"	"Caucasian"
"241"	"Male"	"Caucasian"
"242"	"Female"	"AfricanAmerican"
"243"	"Female"	"AfricanAmerican"
"244"	"Female"	"Caucasian"
"245"	"Female"	"Caucasian"
"246"	"Male"	"Caucasian"
"247"	"Female"	"AfricanAmerican"
"248"	"Male"	"Caucasian"
"249"	"Female"	"Caucasian"
"250"	"Female"	"AfricanAmerican"
"251"	"Female"	"AfricanAmerican"
"252"	"Female"	"Caucasian"
"253"	"Female"	"AfricanAmerican"
"254"	"Female"	"Caucasian"
"255"	"Female"	"AfricanAmerican"
"256"	"Male"	"Caucasian"
"257"	"Male"	"Caucasian"
"258"	"Female"	"Caucasian"
"259"	"Male"	"Other"
"260"	"Male"	"Caucasian"
"261"	"Female"	"AfricanAmerican"
"262"	"Female"	"Caucasian"
"263"	"Male"	"Caucasian"
"264"	"Female"	"AfricanAmerican"
"265"	"Male"	"Caucasian"
"266"	"Male"	"Caucasian"
"267"	"Male"	"Caucasian"
"268"	"Male"	"Caucasian"
"269"	"Female"	"Caucasian"
"270"	"Female"	"Caucasian"
"271"	"Female"	"Caucasian"
"272"	"Female"	"Other"
"273"	"Female"	"Caucasian"
"274"	"Female"	"AfricanAmerican"
"275"	"Male"	"Caucasian"
"276"	"Female"	"Caucasian"
"277"	"Female"	"AfricanAmerican"
"278"	"Female"	"Caucasian"
"279"	"Female"	"Caucasian"
"280"	"Female"	"Caucasian"
"281"	"Female"	"Caucasian"
"282"	"Male"	"Caucasian"
"283"	"Male"	"Caucasian"
"284"	"Male"	"Other"
"285"	"Female"	"Caucasian"
"286"	"Male"	"Caucasian"
"287"	"Female"	"Caucasian"
"288"	"Female"	"Caucasian"
"289"	"Male"	"Caucasian"
"290"	"Male"	"Caucasian"
"291"	"Female"	"Caucasian"
"292"	"Male"	"Caucasian"
"293"	"Female"	"Caucasian"
"294"	"Female"	"Caucasian"
"295"	"Female"	"Caucasian"
"296"	"Male"	"Caucasian"
"297"	"Male"	"Caucasian"
"298"	"Female"	"Caucasian"
"299"	"Female"	"Caucasian"
"300"	"Female"	"Caucasian"
"301"	"Female"	"Caucasian"
"302"	"Female"	"Caucasian"
"303"	"Female"	"AfricanAmerican"
"304"	"Male"	"Caucasian"
"305"	"Male"	"AfricanAmerican"
"306"	"Female"	"Caucasian"
"307"	"Female"	"Caucasian"
"308"	"Female"	"Other"
"309"	"Female"	"Other"
"310"	"Male"	"AfricanAmerican"
"311"	"Male"	"Caucasian"
"312"	"Female"	"AfricanAmerican"
"313"	"Female"	"AfricanAmerican"
"314"	"Female"	"Caucasian"
"315"	"Male"	"AfricanAmerican"
"316"	"Female"	"Caucasian"
"317"	"Female"	"AfricanAmerican"
"318"	"Male"	"Caucasian"
"319"	"Female"	"Caucasian"
"320"	"Male"	"Caucasian"
"321"	"Female"	"Caucasian"
"322"	"Male"	"Caucasian"
"323"	"Female"	"AfricanAmerican"
"324"	"Male"	"Caucasian"
"325"	"Female"	"Caucasian"
"326"	"Female"	"Caucasian"
"327"	"Male"	"Caucasian"
"328"	"Female"	"Caucasian"
"329"	"Female"	"Other"
"330"	"Female"	"AfricanAmerican"
"331"	"Male"	"Other"
"332"	"Female"	"AfricanAmerican"
"333"	"Female"	"Caucasian"
"334"	"Male"	"Caucasian"
"335"	"Male"	"Caucasian"
"336"	"Female"	"Caucasian"
"337"	"Male"	"Caucasian"
"338"	"Male"	"Caucasian"
"339"	"Male"	"Caucasian"
"340"	"Male"	"Caucasian"
"341"	"Female"	"AfricanAmerican"
"342"	"Male"	"Caucasian"
"343"	"Male"	"Caucasian"
"344"	"Female"	"Caucasian"
"345"	"Male"	"Caucasian"
"346"	"Female"	"Caucasian"
"347"	"Female"	"Caucasian"
"348"	"Female"	"Caucasian"
"349"	"Female"	"AfricanAmerican"
"350"	"Male"	"Caucasian"
"351"	"Male"	"Caucasian"
"352"	"Female"	"Caucasian"
"353"	"Male"	"AfricanAmerican"
"354"	"Female"	"Caucasian"
"355"	"Female"	"AfricanAmerican"
"356"	"Female"	"Caucasian"
"357"	"Male"	"Caucasian"
"358"	"Male"	"Caucasian"
"359"	"Female"	"Caucasian"
"360"	"Female"	"Caucasian"
"361"	"Male"	"Caucasian"
"362"	"Female"	"Caucasian"
"363"	"Male"	"Caucasian"
"364"	"Female"	"AfricanAmerican"
"365"	"Male"	"Caucasian"
"366"	"Male"	"Caucasian"
"367"	"Female"	"AfricanAmerican"
"368"	"Female"	"Caucasian"
"369"	"Female"	"AfricanAmerican"
"370"	"Female"	"AfricanAmerican"
"371"	"Female"	"AfricanAmerican"
"372"	"Male"	"Caucasian"
"373"	"Female"	"Caucasian"
"374"	"Male"	"Hispanic"
"375"	"Male"	"Caucasian"
"376"	"Male"	"Caucasian"
"377"	"Female"	"Caucasian"
"378"	"Male"	"Caucasian"
"379"	"Male"	"Caucasian"
"380"	"Male"	"Caucasian"
"381"	"Male"	"AfricanAmerican"
"382"	"Male"	"Caucasian"
"383"	"Male"	"Caucasian"
"384"	"Male"	"Caucasian"
"385"	"Female"	"Asian"
"386"	"Male"	"Caucasian"
"387"	"Male"	"Caucasian"
"388"	"Male"	"AfricanAmerican"
"389"	"Female"	"AfricanAmerican"
"390"	"Female"	"AfricanAmerican"
"391"	"Female"	"Hispanic"
"392"	"Male"	"AfricanAmerican"
"393"	"Female"	"AfricanAmerican"
"394"	"Female"	"Caucasian"
"395"	"Male"	"Caucasian"
"396"	"Male"	"Caucasian"
"397"	"Female"	"Caucasian"
"398"	"Female"	"Caucasian"
"399"	"Female"	"Caucasian"
"400"	"Male"	"AfricanAmerican"
"401"	"Female"	"Caucasian"
"402"	"Male"	"Caucasian"
"403"	"Female"	"Caucasian"
"404"	"Female"	"AfricanAmerican"
"405"	"Male"	"Caucasian"
"406"	"Male"	"Caucasian"
"407"	"Male"	"Caucasian"
"408"	"Female"	"?"
"409"	"Female"	"Caucasian"
"410"	"Female"	"Caucasian"
"411"	"Female"	"AfricanAmerican"
"412"	"Male"	"Caucasian"
"413"	"Female"	"Caucasian"
"414"	"Male"	"Caucasian"
"415"	"Male"	"Asian"
"416"	"Female"	"AfricanAmerican"
"417"	"Male"	"Caucasian"
"418"	"Female"	"AfricanAmerican"
"419"	"Female"	"Caucasian"
"420"	"Male"	"Caucasian"
"421"	"Female"	"Caucasian"
"422"	"Female"	"AfricanAmerican"
"423"	"Female"	"Caucasian"
"424"	"Male"	"Caucasian"
"425"	"Male"	"AfricanAmerican"
"426"	"Female"	"AfricanAmerican"
"427"	"Female"	"Caucasian"
"428"	"Female"	"AfricanAmerican"
"429"	"Male"	"Caucasian"
"430"	"Female"	"AfricanAmerican"
"431"	"Female"	"AfricanAmerican"
"432"	"Female"	"AfricanAmerican"
"433"	"Male"	"AfricanAmerican"
"434"	"Male"	"Caucasian"
"435"	"Male"	"Caucasian"
"436"	"Male"	"Caucasian"
"437"	"Female"	"Caucasian"
"438"	"Male"	"Caucasian"
"439"	"Female"	"Caucasian"
"440"	"Male"	"Caucasian"
"441"	"Male"	"Caucasian"
"442"	"Male"	"AfricanAmerican"
"443"	"Male"	"?"
"444"	"Female"	"Caucasian"
"445"	"Male"	"Caucasian"
"446"	"Male"	"Caucasian"
"447"	"Male"	"Caucasian"
"448"	"Female"	"Caucasian"
"449"	"Female"	"Caucasian"
"450"	"Male"	"AfricanAmerican"
"451"	"Female"	"Caucasian"
"452"	"Male"	"Caucasian"
"453"	"Male"	"Caucasian"
"454"	"Female"	"Caucasian"
"455"	"Female"	"AfricanAmerican"
"456"	"Male"	"Caucasian"
"457"	"Female"	"Hispanic"
"458"	"Male"	"Caucasian"
"459"	"Female"	"Caucasian"
"460"	"Male"	"Caucasian"
"461"	"Female"	"AfricanAmerican"
"462"	"Female"	"AfricanAmerican"
"463"	"Male"	"Caucasian"
"464"	"Male"	"AfricanAmerican"
"465"	"Female"	"Caucasian"
"466"	"Male"	"Caucasian"
"467"	"Female"	"Caucasian"
"468"	"Female"	"AfricanAmerican"
"469"	"Female"	"AfricanAmerican"
"470"	"Male"	"Caucasian"
"471"	"Female"	"Caucasian"
"472"	"Male"	"AfricanAmerican"
"473"	"Female"	"AfricanAmerican"
"474"	"Female"	"Caucasian"
"475"	"Female"	"Caucasian"
"476"	"Male"	"Caucasian"
"477"	"Female"	"Caucasian"
"478"	"Male"	"Caucasian"
"479"	"Female"	"Caucasian"
"480"	"Female"	"Caucasian"
"481"	"Female"	"?"
"482"	"Female"	"AfricanAmerican"
"483"	"Female"	"AfricanAmerican"
"484"	"Male"	"AfricanAmerican"
"485"	"Male"	"Caucasian"
"486"	"Male"	"Caucasian"
"487"	"Male"	"Caucasian"
"488"	"Female"	"Caucasian"
"489"	"Male"	"Caucasian"
"490"	"Male"	"AfricanAmerican"
"491"	"Female"	"Caucasian"
"492"	"Female"	"Caucasian"
"493"	"Female"	"AfricanAmerican"
"494"	"Female"	"AfricanAmerican"
"495"	"Female"	"Caucasian"
"496"	"Female"	"AfricanAmerican"
"497"	"Female"	"AfricanAmerican"
"498"	"Male"	"Caucasian"
"499"	"Female"	"AfricanAmerican"
"500"	"Female"	"AfricanAmerican"
"501"	"Female"	"Caucasian"
"502"	"Female"	"AfricanAmerican"
"503"	"Male"	"Caucasian"
"504"	"Female"	"Caucasian"
"505"	"Male"	"Caucasian"
"506"	"Male"	"Caucasian"
"507"	"Female"	"Caucasian"
"508"	"Female"	"AfricanAmerican"
"509"	"Male"	"Caucasian"
"510"	"Male"	"Caucasian"
"511"	"Male"	"AfricanAmerican"
"512"	"Male"	"Caucasian"
"513"	"Male"	"Caucasian"
"514"	"Male"	"Other"
"515"	"Male"	"AfricanAmerican"
"516"	"Male"	"Caucasian"
"517"	"Female"	"Caucasian"
"518"	"Male"	"Caucasian"
"519"	"Male"	"Caucasian"
"520"	"Female"	"Caucasian"
"521"	"Male"	"Caucasian"
"522"	"Male"	"Caucasian"
"523"	"Male"	"?"
"524"	"Female"	"Hispanic"
"525"	"Male"	"Caucasian"
"526"	"Male"	"AfricanAmerican"
"527"	"Female"	"AfricanAmerican"
"528"	"Female"	"Caucasian"
"529"	"Female"	"AfricanAmerican"
"530"	"Female"	"Hispanic"
"531"	"Female"	"Caucasian"
"532"	"Male"	"AfricanAmerican"
"533"	"Male"	"Caucasian"
"534"	"Male"	"Caucasian"
"535"	"Male"	"Caucasian"
"536"	"Male"	"AfricanAmerican"
"537"	"Female"	"Caucasian"
"538"	"Male"	"Caucasian"
"539"	"Male"	"Caucasian"
"540"	"Male"	"Caucasian"
"541"	"Female"	"Caucasian"
"542"	"Male"	"Caucasian"
"543"	"Female"	"Caucasian"
"544"	"Male"	"Caucasian"
"545"	"Female"	"Caucasian"
"546"	"Male"	"Caucasian"
"547"	"Female"	"?"
"548"	"Female"	"AfricanAmerican"
"549"	"Male"	"AfricanAmerican"
"550"	"Male"	"Caucasian"
"551"	"Male"	"Caucasian"
"552"	"Female"	"Caucasian"
"553"	"Female"	"Caucasian"
"554"	"Female"	"Caucasian"
"555"	"Male"	"AfricanAmerican"
"556"	"Male"	"Caucasian"
"557"	"Female"	"Caucasian"
"558"	"Female"	"AfricanAmerican"
"559"	"Male"	"Caucasian"
"560"	"Male"	"Caucasian"
"561"	"Male"	"Caucasian"
"562"	"Female"	"Caucasian"
"563"	"Male"	"AfricanAmerican"
"564"	"Female"	"Caucasian"
"565"	"Male"	"Caucasian"
"566"	"Female"	"Caucasian"
"567"	"Male"	"Caucasian"
"568"	"Male"	"Caucasian"
"569"	"Male"	"AfricanAmerican"
"570"	"Female"	"AfricanAmerican"
"571"	"Female"	"Caucasian"
"572"	"Female"	"AfricanAmerican"
"573"	"Female"	"AfricanAmerican"
"574"	"Female"	"Caucasian"
"575"	"Female"	"AfricanAmerican"
"576"	"Female"	"Caucasian"
"577"	"Female"	"Caucasian"
"578"	"Female"	"AfricanAmerican"
"579"	"Female"	"Caucasian"
"580"	"Female"	"Caucasian"
"581"	"Female"	"?"
"582"	"Male"	"Caucasian"
"583"	"Male"	"AfricanAmerican"
"584"	"Female"	"Caucasian"
"585"	"Female"	"AfricanAmerican"
"586"	"Female"	"AfricanAmerican"
"587"	"Female"	"AfricanAmerican"
"588"	"Male"	"Caucasian"
"589"	"Male"	"AfricanAmerican"
"590"	"Female"	"Caucasian"
"591"	"Female"	"Caucasian"
"592"	"Male"	"AfricanAmerican"
"593"	"Male"	"Caucasian"
"594"	"Female"	"Caucasian"
"595"	"Female"	"Caucasian"
"596"	"Male"	"Caucasian"
"597"	"Male"	"Caucasian"
"598"	"Female"	"Caucasian"
"599"	"Female"	"Caucasian"
"600"	"Male"	"Caucasian"
"601"	"Male"	"Caucasian"
"602"	"Male"	"Caucasian"
"603"	"Female"	"AfricanAmerican"
"604"	"Female"	"Caucasian"
"605"	"Female"	"Caucasian"
"606"	"Male"	"AfricanAmerican"
"607"	"Female"	"Caucasian"
"608"	"Female"	"Caucasian"
"609"	"Male"	"Caucasian"
"610"	"Female"	"Caucasian"
"611"	"Male"	"Caucasian"
"612"	"Female"	"AfricanAmerican"
"613"	"Male"	"Caucasian"
"614"	"Male"	"Caucasian"
"615"	"Male"	"AfricanAmerican"
"616"	"Female"	"AfricanAmerican"
"617"	"Female"	"AfricanAmerican"
"618"	"Male"	"Caucasian"
"619"	"Female"	"Caucasian"
"620"	"Female"	"Caucasian"
"621"	"Female"	"Caucasian"
"622"	"Male"	"Caucasian"
"623"	"Male"	"AfricanAmerican"
"624"	"Female"	"AfricanAmerican"
"625"	"Female"	"AfricanAmerican"
"626"	"Male"	"AfricanAmerican"
"627"	"Female"	"Caucasian"
"628"	"Female"	"Caucasian"
"629"	"Male"	"Caucasian"
"630"	"Female"	"AfricanAmerican"
"631"	"Female"	"Caucasian"
"632"	"Female"	"AfricanAmerican"
"633"	"Male"	"AfricanAmerican"
"634"	"Female"	"Caucasian"
"635"	"Male"	"Caucasian"
"636"	"Female"	"Caucasian"
"637"	"Female"	"Caucasian"
"638"	"Male"	"AfricanAmerican"
"639"	"Male"	"Caucasian"
"640"	"Male"	"Caucasian"
"641"	"Female"	"Caucasian"
"642"	"Female"	"Caucasian"
"643"	"Male"	"Caucasian"
"644"	"Male"	"?"
"645"	"Female"	"AfricanAmerican"
"646"	"Male"	"?"
"647"	"Female"	"Caucasian"
"648"	"Male"	"Caucasian"
"649"	"Female"	"Caucasian"
"650"	"Male"	"Asian"
"651"	"Female"	"AfricanAmerican"
"652"	"Male"	"Caucasian"
"653"	"Male"	"?"
"654"	"Female"	"Caucasian"
"655"	"Male"	"Caucasian"
"656"	"Female"	"Caucasian"
"657"	"Female"	"AfricanAmerican"
"658"	"Female"	"Caucasian"
"659"	"Male"	"Caucasian"
"660"	"Male"	"Caucasian"
"661"	"Female"	"Caucasian"
"662"	"Female"	"AfricanAmerican"
"663"	"Male"	"Caucasian"
"664"	"Female"	"Caucasian"
"665"	"Male"	"?"
"666"	"Female"	"?"
"667"	"Male"	"Caucasian"
"668"	"Female"	"Caucasian"
"669"	"Male"	"Caucasian"
"670"	"Female"	"Caucasian"
"671"	"Male"	"Caucasian"
"672"	"Female"	"Caucasian"
"673"	"Female"	"Caucasian"
"674"	"Female"	"AfricanAmerican"
"675"	"Female"	"AfricanAmerican"
"676"	"Female"	"Caucasian"
"677"	"Male"	"Caucasian"
"678"	"Male"	"Caucasian"
"679"	"Female"	"Caucasian"
"680"	"Male"	"Caucasian"
"681"	"Female"	"Caucasian"
"682"	"Male"	"Caucasian"
"683"	"Female"	"Caucasian"
"684"	"Female"	"Caucasian"
"685"	"Female"	"Caucasian"
"686"	"Male"	"AfricanAmerican"
"687"	"Female"	"AfricanAmerican"
"688"	"Male"	"Caucasian"
"689"	"Female"	"Caucasian"
"690"	"Female"	"Caucasian"
"691"	"Male"	"Caucasian"
"692"	"Female"	"AfricanAmerican"
"693"	"Female"	"Caucasian"
"694"	"Female"	"Caucasian"
"695"	"Male"	"Caucasian"
"696"	"Male"	"AfricanAmerican"
"697"	"Male"	"Other"
"698"	"Male"	"Caucasian"
"699"	"Male"	"Caucasian"
"700"	"Female"	"AfricanAmerican"
"701"	"Male"	"Caucasian"
"702"	"Male"	"Caucasian"
"703"	"Male"	"Caucasian"
"704"	"Female"	"Caucasian"
"705"	"Female"	"AfricanAmerican"
"706"	"Male"	"Caucasian"
"707"	"Female"	"Caucasian"
"708"	"Female"	"AfricanAmerican"
"709"	"Female"	"AfricanAmerican"
"710"	"Male"	"Caucasian"
"711"	"Female"	"Caucasian"
"712"	"Female"	"Caucasian"
"713"	"Male"	"Caucasian"
"714"	"Male"	"Caucasian"
"715"	"Female"	"Caucasian"
"716"	"Female"	"AfricanAmerican"
"717"	"Female"	"Caucasian"
"718"	"Female"	"Caucasian"
"719"	"Female"	"AfricanAmerican"
"720"	"Male"	"Caucasian"
"721"	"Male"	"Caucasian"
"722"	"Male"	"?"
"723"	"Female"	"AfricanAmerican"
"724"	"Male"	"Caucasian"
"725"	"Male"	"Caucasian"
"726"	"Male"	"Caucasian"
"727"	"Male"	"Caucasian"
"728"	"Male"	"AfricanAmerican"
"729"	"Male"	"Caucasian"
"730"	"Female"	"Caucasian"
"731"	"Male"	"Other"
"732"	"Male"	"Caucasian"
"733"	"Female"	"?"
"734"	"Male"	"AfricanAmerican"
"735"	"Male"	"Caucasian"
"736"	"Male"	"Caucasian"
"737"	"Female"	"Caucasian"
"738"	"Female"	"Caucasian"
"739"	"Female"	"Caucasian"
"740"	"Male"	"Caucasian"
"741"	"Female"	"Caucasian"
"742"	"Male"	"AfricanAmerican"
"743"	"Male"	"?"
"744"	"Female"	"Caucasian"
"745"	"Female"	"AfricanAmerican"
"746"	"Female"	"Caucasian"
"747"	"Female"	"AfricanAmerican"
"748"	"Female"	"Caucasian"
"749"	"Male"	"Caucasian"
"750"	"Female"	"Caucasian"
"751"	"Male"	"Caucasian"
"752"	"Male"	"Caucasian"
"753"	"Male"	"Caucasian"
"754"	"Male"	"Caucasian"
"755"	"Male"	"Caucasian"
"756"	"Male"	"AfricanAmerican"
"757"	"Female"	"AfricanAmerican"
"758"	"Female"	"Caucasian"
"759"	"Female"	"Caucasian"
"760"	"Male"	"Caucasian"
"761"	"Male"	"Caucasian"
"762"	"Male"	"AfricanAmerican"
"763"	"Female"	"AfricanAmerican"
"764"	"Female"	"Caucasian"
"765"	"Female"	"Caucasian"
"766"	"Female"	"Caucasian"
"767"	"Male"	"Asian"
"768"	"Female"	"Caucasian"
"769"	"Female"	"Caucasian"
"770"	"Female"	"Caucasian"
"771"	"Male"	"Caucasian"
"772"	"Female"	"Caucasian"
"773"	"Female"	"Caucasian"
"774"	"Female"	"Caucasian"
"775"	"Female"	"AfricanAmerican"
"776"	"Male"	"Caucasian"
"777"	"Female"	"AfricanAmerican"
"778"	"Female"	"Caucasian"
"779"	"Male"	"Caucasian"
"780"	"Female"	"Caucasian"
"781"	"Male"	"Caucasian"
"782"	"Male"	"Caucasian"
"783"	"Male"	"AfricanAmerican"
"784"	"Female"	"AfricanAmerican"
"785"	"Male"	"Caucasian"
"786"	"Female"	"Caucasian"
"787"	"Male"	"Caucasian"
"788"	"Male"	"AfricanAmerican"
"789"	"Female"	"AfricanAmerican"
"790"	"Female"	"AfricanAmerican"
"791"	"Male"	"Caucasian"
"792"	"Female"	"AfricanAmerican"
"793"	"Male"	"Caucasian"
"794"	"Female"	"AfricanAmerican"
"795"	"Female"	"Caucasian"
"796"	"Female"	"Caucasian"
"797"	"Female"	"Caucasian"
